time,load_kW
00:00,67.6
00:30,63.2
01:00,63.6
01:30,62.8
02:00,60.4
02:30,58.4
03:00,57.2
03:30,55.2
04:00,58.8
04:30,59.6
05:00,58.4
05:30,58.8
06:00,66.4
06:30,53.6
07:00,56.4
07:30,53.6
08:00,55.2
08:30,60.4
09:00,80.8
09:30,80.0
10:00,78.0
10:30,61.2
11:00,62.0
11:30,61.6
12:00,60.8
12:30,62.4
13:00,60.8
13:30,66.8
14:00,66.0
14:30,61.6
15:00,63.2
15:30,65.6
16:00,66.0
16:30,68.8
17:00,79.2
17:30,82.8
18:00,84.0
18:30,87.2
19:00,91.6
19:30,90.0
20:00,90.4
20:30,73.2
21:00,72.0
21:30,72.0
22:00,70.8
22:30,71.2
23:00,73.2
23:30,69.2
